"name","summary","help","preview","opt_param_name","opt_name","user_flag","description","opt_type","value","default_value","only_option_flag","require_flag","regexp_flag","regexp_value","output_option"
"間接取引抽出企業間取引構造マップ(PDF)","入力した2つのファイルを結ぶ企業(間接取引企業)の取引構造図を作成する","","","-m","企業リスト","true","","upload","","","true","true"
"","","","","-M","企業リスト","true","","upload","","","true"
"","","","","-l","間接取引企業階層","true","","text","","","","","true","^[0-9]*$"
"","","","","-N","ノード表示レベル","true","1~9","text","","9","","true","true","^[0-9]$"
"","","","","-L","リンク表示レベル","true","(1~2)","text","","2","","","true","^[1-2]$"
"","","","","-t","タイトル","true","（マップの上位に表示される）","text"
"","","","","-F","形式","false","","text","","pdf"
"","","","","-i","入力ファイル","true","","all_data","/Volumes/TDB/specia/cnv/dm/TRD/BYR/"
"","","","","-j","入力ファイル形式","true","","checkbox","SJIS形式:SJIS","SJIS","true"
"","","","","-J","出力ファイル形式","true","","checkbox","SJIS形式出力:SJIS","SJIS","false"
"","","","","-o","出力ファイル","false","","text","","","","true","","","true"
